#Sequence ID	name	latlon	latitude	longitude	address	date	country	site	yearmonth	locality
Lodz|20160126|Poland|1	Decewicz Dziewit Primer A Lodz 20160126	51.727940,19.347618	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland	20160126	Poland	Lodz	201601	Lodz
Rybienko_Stare|20160303|Poland|1	Decewicz Dziewit Primer A Wyszkow 20160303	52.577948,21.429024	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603	Rybienko Stare
Warszawa|20160126|Poland|1	Decewicz Dziewit Primer A Warsaw 20160126	52.351351,20.959269	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland	20160126	Poland	Warsaw	201601	Warszawa
Wloclawski|20160126|Poland|1	Decewicz Dziewit Primer A Lodz 20160126	52.577948,19.347618	51_727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland	20160126	Poland	Lodz	201601	Wloclawski
Rybienko_Stare|20160126|Poland|3	Decewicz Dziewit Primer A Wyszkow 20160126	52.577948,21.429024	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland	20160126	Poland	Wyszkow	201601	Rybienko Stare
Oswiecim|20160303|Poland|5	Decewicz Dziewit Primer A Oswiecim 20160303	50.038062,19.321854	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603	Oswiecim
Lodz|20160303|Poland|5	Decewicz Dziewit Primer A Lodz 20160303	51.727940,19.347618	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland	20160303	Poland	Lodz	201603	Lodz
Lodz|20160303|Poland|1	Decewicz Dziewit Primer A Lodz 20160303	51.727940,19.347618	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland	20160303	Poland	Lodz	201603	Lodz
Lodz|20160303|Poland|3	Decewicz Dziewit Primer A Lodz 20160303	51.727940,19.347618	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland	20160303	Poland	Lodz	201603	Lodz
Rybienko_Stare|20160126|Poland|2	Decewicz Dziewit Primer A Wyszkow 20160126	52.577948,21.429024	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland	20160126	Poland	Wyszkow	201601	Rybienko Stare
Warszawa|20160126|Poland|7	Decewicz Dziewit Primer A Warsaw 20160126	52.351351,20.959269	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland	20160126	Poland	Warsaw	201601	Warszawa
Oswiecim|20160303|Poland|1	Decewicz Dziewit Primer A Oswiecim 20160303	50.038062,19.321854	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603	Oswiecim
Rybienko_Stare|20160303|Poland|4	Decewicz Dziewit Primer A Wyszkow 20160303	52.577948,21.429024	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603	Rybienko Stare
Oswiecim|20160303|Poland|4	Decewicz Dziewit Primer A Oswiecim 20160303	50.038062,19.321854	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603	Oswiecim
Warszawa|20160126|Poland|9	Decewicz Dziewit Primer A Warsaw 20160126	52.351351,20.959269	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland	20160126	Poland	Warsaw	201601	Warszawa
Rybienko_Stare|20160126|Poland|1	Decewicz Dziewit Primer A Wyszkow 20160126	52.577948,21.429024	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland	20160126	Poland	Wyszkow	201601	Rybienko Stare
Warszawa|20160126|Poland|4	Decewicz Dziewit Primer A Warsaw 20160126	52.351351,20.959269	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland	20160126	Poland	Warsaw	201601	Warszawa
Oswiecim|20160303|Poland|3	Decewicz Dziewit Primer A Oswiecim 20160303	50.038062,19.321854	50.038062	19.321854	Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32642 Oswiecim, Poland	20160303	Poland	Oswiecim	201603	Oswiecim
Rybienko_Stare|20160303|Poland|2	Decewicz Dziewit Primer A Wyszkow 20160303	52.577948,21.429024	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603	Rybienko Stare
Lodz|20160303|Poland|2	Decewicz Dziewit Primer A Lodz 20160303	51.727940,19.347618	51.727940	19.347618	Group Wastewater Treatment Plant, Sanitariuszek 66, 91867 Lodz, Poland	20160303	Poland	Lodz	201603	Lodz
Warszawa|20160126|Poland|6	Decewicz Dziewit Primer A Warsaw 20160126	52.351351,20.959269	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland	20160126	Poland	Warsaw	201601	Warszawa
Rybienko_Stare|20160303|Poland|3	Decewicz Dziewit Primer A Wyszkow 20160303	52.577948,21.429024	52.577948	21.429024	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland	20160303	Poland	Wyszkow	201603	Rybienko Stare
Warszawa|20160126|Poland|2	Decewicz Dziewit Primer A Warsaw 20160126	52.351351,20.959269	52.351351	20.959269	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland	20160126	Poland	Warsaw	201601	Warszawa
